,base_name,date,datetime,developmental_stage,full_name,is_manual
49,15_07_15_K_earlyL3_Ch1_16072015_142537,2015-07-16,14:25:37,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/15_07_16/15_07_15_K_earlyL3_Ch1_16072015_142537_features.hdf5,False
50,15_07_30_C2_earlyL3_Ch1_30072015_181335,2015-07-30,18:13:35,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/15_07_30/15_07_30_C2_earlyL3_Ch1_30072015_181335_features.hdf5,False
51,15_09_17_K2_earlyL3_Ch1_17092015_110514,2015-09-17,11:05:14,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/15_09_17/15_09_17_K2_earlyL3_Ch1_17092015_110514_features.hdf5,False
52,15_09_17_L2_earlyL3_Ch1_17092015_132702,2015-09-17,13:27:02,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/15_09_17/15_09_17_L2_earlyL3_Ch1_17092015_132702_features.hdf5,False
54,03_L3_1.6_Ch1_24062016_153519,2016-06-24,15:35:19,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/16_06_24/03_L3_1.6_Ch1_24062016_153519_features.hdf5,False
55,P3_L3_1.6_Ch1_08072016_085341,2016-07-08,08:53:41,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/16_07_08/P3_L3_1.6_Ch1_08072016_085341_features.hdf5,False
56,C4_L3_1.6_Ch1_28072016_123657,2016-07-28,12:36:57,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/16_07_28/C4_L3_1.6_Ch1_28072016_123657_features.hdf5,False
57,D4_L3_1.6_Ch1_28072016_145526,2016-07-28,14:55:26,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/16_07_28/D4_L3_1.6_Ch1_28072016_145526_features.hdf5,False
58,E4_L3_1.6_Ch1_29072016_174643,2016-07-29,17:46:43,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/16_07_29/E4_L3_1.6_Ch1_29072016_174643_features.hdf5,False
59,J4_L3_1.6_Ch1_04082016_110755,2016-08-04,11:07:55,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/16_08_04/J4_L3_1.6_Ch1_04082016_110755_features.hdf5,False
60,15_07_07_A_earlyL4_Ch1_08072015_161348,2015-07-08,16:13:48,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/15_07_08/15_07_07_A_earlyL4_Ch1_08072015_161348_features.hdf5,False
61,15_07_21_Q_earlyL4_Ch1_22072015_155722,2015-07-22,15:57:22,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/15_07_22/15_07_21_Q_earlyL4_Ch1_22072015_155722_features.hdf5,False
62,15_08_12_E2_early_L4_Ch1_12082015_150046,2015-08-12,15:00:46,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/15_08_12/15_08_12_E2_early_L4_Ch1_12082015_150046_features.hdf5,False
63,15_08_13_F2_earlyL4_Ch1_13082015_164859,2015-08-13,16:48:59,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/15_08_13/15_08_13_F2_earlyL4_Ch1_13082015_164859_features.hdf5,False
64,15_09_23_N2_L4_Ch1_23092015_170335,2015-09-23,17:03:35,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/15_09_23/15_09_23_N2_L4_Ch1_23092015_170335_features.hdf5,False
