base_name,date,developmental_stage,file_name,is_manual,time
15_07_23_X_lateL1_Ch1_24072015_095447,2015-07-24,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/15_07_24/15_07_23_X_lateL1_Ch1_24072015_095447_features.hdf5,False,09:54:47
M3_lateL1_2.5_Ch1_23062016_105313,2016-06-23,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/16_06_23/M3_lateL1_2.5_Ch1_23062016_105313_features.hdf5,False,10:53:13
P3_lateL1_2.0_Ch1_07072016_182803,2016-07-07,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/16_07_07/P3_lateL1_2.0_Ch1_07072016_182803_feat_manual.hdf5,True,18:28:03
P3_lateL1_2.0_Ch1_07072016_182803,2016-07-07,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/16_07_07/P3_lateL1_2.0_Ch1_07072016_182803_features.hdf5,False,18:28:03
G4_LateL1_2.0_Ch1_02082016_102854,2016-08-02,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/16_08_02/G4_LateL1_2.0_Ch1_02082016_102854_features.hdf5,False,10:28:54
H4_lateL1_2.0_Ch1_02082016_182739,2016-08-02,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/16_08_02/H4_lateL1_2.0_Ch1_02082016_182739_features.hdf5,False,18:27:39
N4_lateL1_2.0_Ch1_04082016_183949,2016-08-04,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/16_08_04/N4_lateL1_2.0_Ch1_04082016_183949_features.hdf5,False,18:39:49
Q4_lateL1_2.0_Ch1,2016-08-10,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/16_08_10/Q4_lateL1_2.0_Ch1_features.hdf5,False,NULL
15_07_22_U_earlyL2_Ch1_23072015_125628,2015-07-23,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/15_07_23/15_07_22_U_earlyL2_Ch1_23072015_125628_features.hdf5,False,12:56:28
15_07_23_V_earlyL2_Ch1_23072015_150002,2015-07-23,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/15_07_23/15_07_23_V_earlyL2_Ch1_23072015_150002_features.hdf5,False,15:00:02
15_07_23_W_earlyL2_Ch1_24072015_123757,2015-07-24,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/15_07_24/15_07_23_W_earlyL2_Ch1_24072015_123757_features.hdf5,False,12:37:57
15_07_24_X_earlyL2_Ch1_24072015_144325,2015-07-24,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/15_07_24/15_07_24_X_earlyL2_Ch1_24072015_144325_features.hdf5,False,14:43:25
15_08_11_D2_earlyL2_Ch1_11082015_151823,2015-08-11,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/15_08_11/15_08_11_D2_earlyL2_Ch1_11082015_151823_features.hdf5,False,15:18:23
M3_L2_2.0_Ch1_23062016_170317,2016-06-23,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/16_06_23/M3_L2_2.0_Ch1_23062016_170317_feat_manual.hdf5,True,17:03:17
M3_L2_2.0_Ch1_23062016_170317,2016-06-23,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/16_06_23/M3_L2_2.0_Ch1_23062016_170317_features.hdf5,False,17:03:17
T3_L2_2.0_Ch1_15072016_122729,2016-07-15,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/16_07_15/T3_L2_2.0_Ch1_15072016_122729_features.hdf5,False,12:27:29
U3_L2_2.0_Ch1_15072016_150343,2016-07-15,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/16_07_15/U3_L2_2.0_Ch1_15072016_150343_features.hdf5,False,15:03:43
